"glytoucan_ac","glytoucan_type","glycan_mass","glycan_permass","base_composition","composition","topology","monosaccharides","is_motif"
"G82286VD","Saccharide","545.195584305","699.367735075","G52963ZW","G75641SG","G77264UN","3","False"
"G82288QV","Saccharide","545.195584305","699.367735075","G52963ZW","G75013DQ","G35607LD","3","False"
"G82290LY","Saccharide","180.0633882","250.14163855","G81399MY","G76789ES","G22103MH","1","False"
"G82292TW","Saccharide","1072.38060391","1352.69360531","G92050GC","G74249RH","G70656JI","6","False"
"G82295YX","Saccharide","180.0633882","250.14163855","G81399MY","G76001GO","G81063XN","1","False"
"G82303RP","Saccharide","1655.59183828","2062.04569031","G98993TR","G46433HY","G09143NP","9","False"
"G82305SV","Saccharide","748.27495691","944.49405789","G65171UV","G51934ND","G51057EI","4","False"
"G82306EN","Saccharide","463.099575395","561.209125885","G06461TM","G80869MR","G83378RR","2","False"
"G82306VJ","Saccharide","504.1690352","658.34118597","G39365VM","G72116MB","G63977XF","3","False"
"G82308RC","Topology","1558.53907441","1964.99292644","G31852PQ","G45552IY","G82308RC","9","False"
"G82311QG","Saccharide","666.2218587","862.44095968","G90306QO","G65968NT","G93472KA","4","False"
"G82312JY","Saccharide","1665.6238071","2058.06200906","G88725PI","G29913WR","G63253XC","9","False"
"G82314XU","Saccharide","504.1690352","658.34118597","G39365VM","G89489JX","G34021ZS","3","False"
"G82317GV","Topology","465.115225465","577.240426025","","G23425WZ","G82317GV","2","False"
"G82320CI","Saccharide","828.2746822","1066.54073339","G84322TE","G87830MO","G06028TA","5","False"
"G82320NZ","Saccharide","2005.72436873","2496.27212117","G60033FS","G50293LU","G82095XV","11","False"
"G82324DC","Saccharide","1040.39077465","1292.67247591","G51210WZ","G72933YZ","G66723JX","6","False"
"G82334OE","Saccharide","1610.61799343","2003.05619539","","G40140NF","G28200IF","9","False"
"G82341NZ","Saccharide","2093.74041275","2612.31946535","G91897BH","G00449DS","G86937KG","11","False"
"G82343BL","Saccharide","504.1690352","658.34118597","G39365VM","G72116MB","G62082AD","3","False"
"G82347DR","Composition","2484.92464444","3059.56629731","G48053DU","G82347DR","","14","False"
"G82348BZ","Saccharide","1056.38568928","1322.68304061","G20956ZV","G23088YX","G27815BZ","6","False"
"G82348PP","Topology","2500.91955907","3089.57686201","G05049IC","G25103RK","G82348PP","14","False"
